모집 여부,제목,신청기간,담당기관,진행일정,문의 전화,문의 이메일,지원대상,상세정보,URL
모집중,내 색을 찾으면 세상이 달라보인다! - 퍼스널컬러 브랜딩 워크숍,2025-07-18 ~ 2025-07-24,해운대 청년JOB카페(드림포트),2025-07-24 ~ 2025-07-24,051-321-3307,,만 15 ~ 만 39세 청년,"상세정보[해운대 청년JOB카페 드림포트 프로그램 안내]■ 프로그램 : 내 색을 찾으면 세상이 달라보인다! - 퍼스널컬러 브랜딩 워크숍■ 교육내용1. Discover My Tone- 아이스브레이크: 오늘 기분 색 카드- 퍼스널컬러 4→16-시즌 구조·언더톤·명도·채도 이해- 드레이프 시연 & 색이 주는 감정 퀴즈2. Design My Palette-AI 색채 분석 앱으로 셀프 진단-‘키 컬러 5’ 선정 & 옷장·코스메 리스트 작성- 키 컬러 스티커 세트 제작 : 다이어리·스마트폰에 붙여 일상에서 컬러를 상기하도록 작은 원형 스티커 3장 꾸미기3. Embrace My Color- 3색 호흡 컬러 명상 체험- 감정‑컬러 매칭 컬러 저널링- 21‑Day 컬러 힐링 챌린지 플래너 세팅🎨 색으로 나를 이해하고, 감정을 정리하는 퍼스널컬러 특강어울리는 색을 입는 것만으로 거울 속 내가 다르게 보이고, 일상이 더 선명해집니다 : )✔️ 감정 & 이미지 기반의 새로운 퍼스널컬러 접근✔️ 실습 중심으로 누구나 쉽고 재미있게✔️ 일상에서 바로 활용할 수 있는 구체적인 컬러 가이드 제공휴대용 거울, 편안한 복장만 갖춰진다면 이 모든 강의가 무료 !색으로 나를 이해하고, 감정을 정리하는 퍼스널컬러 특강을 만나보세요 ! 🔍■ 일시 : 25.7.24. (목) 13:00 ~ 17:00 (4시간)■ 장소 : 해운대청년job카페 드림포트 (부산 해운대구 반여로 120)■ 대상 : 15~39세 취업을 준비하는 모든 청년■ 비용 : 무료☞교육 신청 링크 클릭☜※주차장이 제공되지 않습니다. 대중교통을 이용해주시기 바랍니다☎ 문의 : 051-321-3331 / 051-327-3343",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001979
모집중,하루만에 끝내는 실전 마케팅 B,2025-07-18 ~ 2025-07-31,해운대 청년JOB카페(드림포트),2025-07-31 ~ 2025-07-31,051-321-3307,,만 15 ~ 만 39세 청년,"상세정보[해운대 청년JOB카페 드림포트 프로그램 안내]■ 프로그램 : 하루만에 끝내는 실전 마케팅 B■ 교육내용[하루만에 끝내는 실전 마케팅 스킬]1. 소비트렌드, 시장조사 기법2. 공모전, 마케팅 기획서 작성 스킬■ 일시 : 25.7.31. (목) 10:00 ~ 14:00 (4시간)■ 장소 : 경성대학교 상학관 (4호관) 201호■ 대상 : 15~39세 취업을 준비하는 모든 청년■ 비용 : 무료☞교육 신청 링크 클릭☜※ 교육 신청 시 자동 확정되며, 변경 사항이 있을 경우 별도로 안내드립니다.☎ 문의 : 051-321-3331 / 051-327-3343",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001978
모집중,하루만에 끝내는 실전 마케팅 A,2025-07-18 ~ 2025-07-30,해운대 청년JOB카페(드림포트),2025-07-30 ~ 2025-07-30,051-321-3307,,만 15 ~ 만 39세 청년,"상세정보[해운대 청년JOB카페 드림포트 프로그램 안내]■ 프로그램 : 하루만에 끝내는 실전 마케팅 A■ 교육내용[하루만에 끝내는 실전 마케팅 기초]1. 디지털 AI 마케팅 실전 사례2. 고객 데이터, 빅데이터 마케팅■ 일시 : 25.7.30. (수) 10:00 ~ 14:00 (4시간)■ 장소 : 경성대학교 상학관 (4호관) 201호■ 대상 : 15~39세 취업을 준비하는 모든 청년■ 비용 : 무료☞교육 신청 링크 클릭☜※ 교육 신청 시 자동 확정되며, 변경 사항이 있을 경우 별도로 안내드립니다.☎ 문의 : 051-321-3331 / 051-327-3343",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001977
모집중,2025 금정 청년정책네트워크 추가모집,2025-07-18 ~ 2025-08-04,금정구 일자리정책과,2025-05-30 ~ 2025-12-31,051-519-4871,,금정구에 거주하거나 활동하는 18세~39세 청년,"상세정보📢청년 당사자의 정책 참여를 확대하고 청년이 주도하는 청년정책 추진을 위해 「2025 금정 청년정책네트워크」 일자리·교육, 주거·생활 분과원을 아래와 같이 모집하오니 관심있는 청년의 많은 참여를 바랍니다.✅ 2025 금정 청년정책네트워크 활동 개요📍 활동기간: 2025. 5월 ~ 12월📍 주요활동: 청년정책·지역현안 의제발굴 및 정책 제안, 청년 행사 참여, 정책 모니터링 및 홍보 등📌 분과회의: 정기 회의(3회 예정), 수시 회의(6~10월 분과별 개최)- 4개분과: 일자리·교육, 주거·생활, 복지·문화, 참여·권리※ 신청 시 기재한 관심분야 반영하여 구성(인원 비율 따라 조정 가능)📌 관련행사: 청년주간·정책제안회(9~10월), 성과공유회 등📍 지원내용: 회의 참석 수당 및 프로젝트비, 활동증명서 발급, 우수자 활동자 상장 수여 등※ 회의 참석 수당 및 프로젝트비: 예산범위 내 지급✅ 모집개요📍 모집대상: 금정구에거주하거나활동하는18세~39세 청년- 거주: 주민등록상 주소가 금정구인 청년- 활동: 금정구 소재 직장, 학교(재학·휴학),사업장, 청년단체 등 소속 청년📍 모집기간:2025. 7.18.(금) ~ 8.4.(월)📍 모집분과: 일자리·교육, 주거·생활📍 모집인원: 5명 내외📍 신청방법: 온라인신청(이메일 chu3431@korea.kr)📍 제출서류: 지원신청서 및 소개서, 개별 증빙서류 ▹ 1개의 파일로 압축하여 첨부📍 최종 선정결과: 개별 통보 및 구 홈페이지 게시※ 기타 자세한 사항은 금정구 홈페이지 고시공고 참고",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001976
모집중,2025 지역특화 청년사업 「You & Namgu로컬 문화 탐방단」문화 탐방단 3기 ∙ 4기 (8월),2025-07-17 ~ 2025-07-28,남구 일자리경제과 청년정책팀,2025-08-01 ~ 2025-08-29,051-607-3666,,18~39세 청년 누구나,"상세정보[2025 지역특화 청년사업]「You & Namgu로컬 문화 탐방단」 3기·4기지역을 알고, 경험하고, 기록하다!부산 남구부터 전국 방방곡곡까지, 청년들의 시선으로 지역 이야기를 만드는 청년 프로젝트!문화탐방단 3·4기 모집합니다!⭐참가신청서 제출 필수 (chem31@korea.kr)*참가신청서는 남구청년창조발전소 홈페이지 → 청년프로그램에서 다운로드 가능합니다.🔔모집기간 : 7. 17 (목) ~ 7. 28 (월)🔔추첨일자 : 7. 28 (월) 17:00✅ 모집대상 : 부산 남구 거주 또는 활동중인 청년 우선 선발✅ 모집인원 : 한 기수당 최대 8명 (3기 : 8명 / 4기 : 8명)*헌혈 우선 추첨 : 2명✅ 활동기간 : 8월✅ 주요내용 : 남구(부산)의 문화 콘텐츠를 체험하고 느낀 뒤,홍보 콘텐츠 및 정책 제안서 직접 제작✅ 참가혜택- 문화체험단 활동을 위한 비용 지급(카드뉴스,영상 제작료)- 1인당 239,000원(8.8% 원천징수액 포함)- 참가자 전원 여행자 보험 가입 지원☎ 문의 : 남구 일자리경제과 청년정책팀 (051-607-3666~7)본 사업은 「2025년 지역특화 청년사업」입니다.",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001975
모집중,[청년작당소] 공연러버 살롱: 취향을 나누고 마음을 잇다,2025-07-17 ~ 2025-08-08,청년작당소,2025-08-08 ~ 2025-08-29,051-711-2980,,청년 누구나,"상세정보📣 〈공연러버 살롱: 취향을 나누고 마음을 잇다〉 참가자를 모집합니다!“혼자 즐기던 공연, 이제는 함께 이야기하며당신의 덕심을 더욱 풍성하게 만들어볼 시간!”💖 공연을 통해 연결될 당신을 위한 4주간의 특별한 여정!자신만의 관람 경험과 기록 방식을 나누고,서로의 덕질에 공감하며 새로운 관계를 만들어가요.당신의 이야기가 누군가에게 ‘최애 공연’을 선물할지도 몰라요.🍀🎯 공연러버 살롱은?‘공연’을 매개로 소통하며, 나만의 관객 정체성을 찾아가는취향 기반 커뮤니티형 프로젝트!👉 우리의 살롱에서는요!각자의 속도로 공연 관람 경험 공유 (장르 불문!)나만의 기록 방식 → 노하우 공유 → 새로운 시도최종 취향 소책자 제작 + 미니 전시까지!📆 운영 기간 (주 1회 오프라인 모임)[1회차] 8/8(금) 19:00 나의 공연연대기[2회차] 8/15(금) 19:00 덕업일치를 꿈꿔본 적 있어?[3회차] 8/22(금) 19:00 당신은 어떻게 기록해?[4회차] 8/29(금) 19:00 우리는 이런 관객입니다📌 모집: ~ 8월 3일 (일) 자정까지📌 장소: 청년작당소 클라이맥스📌 대상: 부산 청년 누구나, 10명 내외 (선발형)선발되신 분께는 문자로 개별 안내 예정입니다.🎁 지원 내용따뜻한 다과 제공 / 살롱 활동 자료 / 취향 소책자 제작 / 미니 전시 기회🌈 이런 분께 추천해요!✔장르 불문, 공연을 깊이 사랑하고 혼자 덕질했지만, 이제는 함께 이야기하고 싶은 분✔나만의 공연 관람 철학을 공유하고 싶은 분✔나만의 공연관람 기록 방식을 공유하고 함께 나누고 싶은 분👉 합류하고 싶은 당신,이번 여름은 “공연러버 살롱”에서 함께 덕심을 불태워봐요! 🌱🎫 신청링크는 청년작당소 인스타그램(@jakdangso_busan) 프로필 링크를 통해 접속 가능합니다!(신청링크:https://naver.me/GYGiq403)🚘 주차 안내별도 주차 공간이 없으니, 대중교통이나 인근 주차장 이용 부탁드립니다.❌ 노쇼 금지무단불참, 노쇼 시 향후 청년작당소의 다른 프로그램 참여에 제약이 있을 수 있습니다.📷 프로그램 진행 중 사진 촬영이 진행될 수 있습니다.",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001974
모집중,[연제구]로컬 IN 연제 히든 챔피언을 찾아라!,2025-07-15 ~ 2025-07-30,연제청년창업나래센터,2025-08-11 ~ 2025-10-31,051-862-3734,,18세 ~ 39세 부산 청년 10팀,"상세정보✅ 교육대상: 18세 ~ 39세 부산 청년 10팀✅ 신청기간: 2025. 7. 15.(화) ~ 7.30.(수)✅ 대상선정: 2025. 8. 11.(월)✅ 실무교육: 2025. 8. 14.(목) ~ 9.5.(금) 매주 목,금요일 14:00 ~ 16:00✅ 전담코칭: 2025. 9. 8.(월) ~ 10. 31.(금)✅ 신청방법QR참여신청: QR 코드링크 작성E-mail: yeonje_2024@naver.com(히든챔피언_신청자명 기재 발송)전화 신청: 010-3446-1322안내,문의: 051-862-3734✅ 신청분야: 로컬창업, F&B, 지역특화 청년 창업가",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001973
모집중,🏠 [제3회 영도구 청년 주거 독립지원 교육],2025-07-17 ~ 2025-07-23,영도구 신성장전략과,2025-07-24 ~ 2025-07-24,051-419-4614,,영도구 청년 중 주거 독립에 관심 있는 누구나,"상세정보🏠[제3회 영도구 청년 주거 독립지원 교육]청년 독립의 첫걸음, ‘주거정책 완전정복!’혼자 살아보고 싶은데,청약? 전세대출? 복잡한 정책들…하나도 모르겠다고요?청년을 위한 주거정책 핵심만 쏙쏙!이제는정책을 아는 사람이 유리합니다!📅언제?2025년 7월 24일(목) 18:30 ~ 20:30📍어디서?영도구 청년희망플랫폼 다이룸 (영도구 번영길 8, 3층)👥대상영도구 청년 중 주거 독립에 관심 있는 누구나, (20명 내외, 선정자 개별 연락 예정)📚교육 내용✔️ 청년 대상 전·월세 대출 등주요 주거복지제도 안내✔️주택 청약 가이드, 내 집 마련 기본기 다지기✔️ 꼭 알아야 할기초 부동산 상식까지!📝신청 방법📅 7월 23일(수) 오후 6시까지📌 포스터 내 QR코드 or 아래 링크 클릭!🔗https://docs.google.com/forms/d/e/1FAIpQLSc1_J-kDtbYxT4hkrwaXLmBkLPOeQ-qfVyZmzkxmqxV8F8Kyw/viewform📞문의영도구 신성장전략과 ☎ 051-419-4614📢전세대출? 청약? 헷갈렸던 청년 주거정책,이번에 싹! 정리하고현실적인 독립 계획 세워보세요!지금 바로 신청하세요 🙌",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001972
모집중,[해운대구] 동네_심리안정(바르게쓰는한줄) 프로그램 참여자 모집,2025-07-17 ~ 2025-07-24,해운대청년채움공간,2025-07-25 ~ 2025-07-25,051-647-0917,,부산시 청년 누구나,"상세정보✧･ﾟ: 심리안정 프로그램(바르게 쓰는 한줄) 입니다. :･ﾟ✧- 일자 : 2025년 7월 25일 (금)- 시간 : 오후 7시 ~ 오후 9시- 장소 : 해운대 청년채움공간 D동 공유회의실(해운대구 센텀동로 200)- 내용 : 글씨를 교정하며 집중과 위로의 시간 갖기- 강사 : 이수현 강사- 수강료 : 무료- 준비물 : 자주 쓰는, 좋아하는 필기구- 문의처 : 051-647-0917(청년채움공간 운영사무국)- 참여신청은 반드시 네이버폼으로 신청부탁드립니다.참여신청!!!!!!!!!!!!<- 신청링크",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001971
모집중,씨앗 나눔 꾸러미(8월),2025-07-16 ~ 2025-07-28,남구 일자리경제과 청년정책팀,2025-08-01 ~ 2025-08-30,051-607-3666,,18~39세 청년 누구나,"상세정보🌱[참여자 모집] 식재료 무료 나눔, 씨앗 나눔 꾸러미(8월)씨앗 나눔 꾸러미 참여하고 무료로 식재료 받아가세요~!신청 대상이라면, 얼른 신청 Go!Go!이 좋은 기회, 친구에게 공유 Go!Go!*본 프로그램은 식생활교육부산네트워크 · 자연드림씨앗재단 · 지역기업과 함께합니다.⭐모집기간 : 7. 16 (수) ~ 7. 28 (월)⭐추첨일자 : 7. 28 (월) 17:00✅ 운영내용STEP 1. 참여만 해도 기본 제공(즉석밥 3개 / 맛김 10개)▸STEP 2. 선착순으로 식재료 및 각종 도구 제공(9종 1개씩)▸STEP 3. 참여 후기 작성 시, 추첨을 통해 볶음밥·계란 10구 제공✅ 모집대상 : 남구 거주 및 활동 중인 1인가구 청년 우선 / 20명 모집(*헌혈 우선 추첨 : 4명)✅ 운영기간 : 8월 중✅참여방법 : 홈페이지 신청→ 참여자 선정(추첨)→ 참여 문자 안내→ 식재료 수령(방문 수령)✅ 운영장소 : 남구 청년창조발전소 (남구 용소로46번길 7)✅ 신청방법 : 남구 청년창조발전소 홈페이지 청년프로그램 신청☎ 문의 : 남구 일자리경제과 청년정책팀 (051-607-3666~7)",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001970
모집중,마음건강 캠페인(7월),2025-07-16 ~ 2025-07-29,남구 일자리경제과 청년정책팀,2025-07-30 ~ 2025-07-30,051-607-3666,,18~39세 청년 누구나,"상세정보[참여자 모집] 전문 심리 상담사와 함께하는 1:1 상담! 마음건강 캠페인(7월)내 마음을 돌보는 만큼 내 하루도 가벼워집니다😊⭐모집기간 : ~7. 29 (화)✅ 운영내용 : 마음 건강 선별 검사 및 상담- 1인 40분 소요(선별지 검사 15분, 상담 25분)- 추가 상담 원할 시 상담사에게 문의✅ 모집대상 : 18~39세 청년 누구나 / 선착순 6명 모집✅ 운영일시 : 7. 30 (수) 15:40~18:00 (※1인 40분 소요)✅ 운영장소 : 남구 청년창조발전소 (남구 용소로46번길 7)*상담실은 일부 가려진 공간임을 참고바랍니다.✅ 신청방법 : 남구 청년창조발전소 홈페이지 청년프로그램 신청☎ 문의 : 남구 일자리경제과 청년정책팀 (051-607-3666~7)",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001969
모집중,나도 프로 집밥러 5기(8월),2025-07-15 ~ 2025-07-24,남구 일자리경제과 청년정책팀,2025-07-30 ~ 2025-08-20,051-607-3666,,18~39세 청년 누구나,"상세정보[참여자 모집] 나도 프로 집밥러 5기같이 밀키트 만들고 소통하자!⭐모집기간 : 7. 15 (화) ~ 7. 24 (목)⭐추첨일자 : 7. 24 (목) 17:00✅ 운영내용 : 참가자들이 모여 직접 밀키트 제작 요리 등 활동을 매개로 소통✅ 참여조건1) 전 일정 참여2) 1인당 4,000원 상당 기부 필수3) 연 1회 참여 가능(신규 참여자 우선)✅ 운영일시 : 총 4주차 운영7. 30 (수) / 8. 6 (수) / 8. 13 (수) / 8. 20 (수)18:30~20:30✅ 운영장소 : 남구 청년창조발전소 (남구 용소로46번길 7)✅ 신청방법 : 남구 청년창조발전소 홈페이지 청년프로그램 신청☎ 문의 : 남구 일자리경제과 청년정책팀 (051-607-3666~7)",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001968
모집중,1:1 무료 노무상담_동네방네 노무상담(7월),2025-07-15 ~ 2025-07-28,남구 일자리경제과 청년정책팀,2025-07-29 ~ 2025-07-29,051-607-3666,,18~39세 청년 누구나,"상세정보💛[참여자 모집] 동네방네 노무상담(7월)청년이라면 누구나 받을 수 있는 노무상담!아르바이트, 근로계약서, 퇴직금, 임금 체불 등근로하면서 생긴 궁금증이나 고민들 노무사와 1:1로 무료 상담하세요🙋‍♀️🙋‍♂️⭐모집기간 : ~7. 28 (월)✅ 운영내용 : 개인 맞춤 노무상담- 노동법 / 근로기준법 상담- 임금 체불, 부당해고 등 노동관련 기초 상담- 직장 내 성희롱, 직장 내 괴롭힘 상담 및피해자를 위한 보호 제도 설명✅ 모집대상 : 18~39세 청년 누구나 / 선착순 3명 모집✅ 운영일시 : 7. 29 (화) 14:00~17:00(※ 1인 1시간 소요)✅ 운영장소 : 남구 청년창조발전소 (남구 용소로46번길 7)※ 상담 장소는 일부 가려진 공간임을 참고 바랍니다.✅ 신청방법 : 남구 청년창조발전소 홈페이지 청년프로그램 신청☎ 문의 : 남구 일자리경제과 청년정책팀 (051-607-3666~7)",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001967
모집중,[해운대구] 동네_소통(혹시 나도 전과자?) 프로그램 참여자 모집,2025-07-16 ~ 2025-07-28,해운대 청년채움공간,2025-07-29 ~ 2025-07-29,051-647-0917,,부산시 청년 누구나,"상세정보✧･ﾟ: 소통 프로그램(혹시 나도 전과자?) 입니다. :･ﾟ✧- 일자 : 2025년 7월 29일(화)- 시간 : 오후 7시 ~ 오후9시- 장소 : 해운대 청년채움공간 A동 강의실(해운대구 센텀동로 200)- 내용 : 생활 속 분쟁 대처 방법(금전거래, 근무 현장 사례, 디지털 범죄, 상속 등)- 수강료 : 무료- 문의처 : 051-647-0917(청년채움공간 운영사무국)- 참여신청은 반드시 네이버폼으로 신청 부탁드립니다.-참여신청 클릭!!!!!!!!!!!!!!!!!",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001966
모집중,금융어드바이저 서비스 사업 안내,2025-07-14 ~ 2025-10-31,금융산업공익재단,2025-07-14 ~ 2025-10-31,02-3276-7604,,19세 ~ 39세 청년 누구나,"상세정보- 본 사업은 우리나라 금융노사가 공동으로 출연하여 설립한 금융산업공익재단이 주관하고,사단법인 한국에프피에스비가 수행하는 사업임- 경기도 및 6대 광역시 청년을 대상으로 무료로 맞춤형 재무상담을 제공- 올바른 금융태도 형성을 도와 중,장기적으로 재무목표 수립에 도움을 드리는 사업- 모집인원 : 부산 청년 200명(선착순 모집)- 모집기간 : 2025-07-14 ~ 2025-10-31까지(기간내 인원충족 시 마감)- 신청방법 : 홈페이지 kfifadv.org- 문의 : 02-3276-7604",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001965
모집마감,"향기로 기억되는 나, 나만의 아로마 향수 목걸이 만들기",2025-07-16 ~ 2025-07-18,해운대 청년JOB카페(드림포트),2025-07-18 ~ 2025-07-18,051-321-3307,,15~39세 청년,"상세정보[해운대 청년JOB카페 드림포트 프로그램 안내]■ 프로그램 : 향기로 기억되는 나, 나만의 아로마 목걸이 만들기참여비, 재료비 전액 무료 지원■ 교육내용1. 아로마테라피, 향기의 심리학-아로마테라피 개요 및 스트레스와 향기의 관계-주요 에센셜 오일 시향 및 감정 체크 활동-“지금 내게 필요한 향기” 셀프 진단지 작성 및 공유2. 나만의 아로마 목걸이 만들기-나에게 맞는 에센셜 오일 블렌딩 실습-천연 아로마를 활용한 아로마 목걸이 제작-향기를 통한 자기소개 스크립트 만들기3. 향기로 안정감을 되찾는 실습 및 통합 활동-향기 앵커링과 명상: 긴장을 낮추는 루틴 훈련-향기와 연결된 내 감정 표현 저널링-‘나에게 주는 한 문장’ 자기 다짐 카드 만들기🌱 중요한 순간 앞에서 떨리는 마음… 나만의 향기로 마음을 진정시키고, 자신감을 채워보세요.이번 강의에서는 다음과 같은 내용을 다룹니다.✔️ 향기의 힘: 아로마 오일이 어떻게 우리의 감정을 안정시키고, 집중력을 높이는지 배우기✔️ 나에게 맞는 향기 찾기: 자신감, 평온, 집중력을 높이는 향기 선택✔️ DIY 아로마 목걸이 만들기: 나만의 아로마 목걸이를 만들어, 언제든지 향기로 나를 다독일 수 있게 하기✔️ 스트레스 관리: 불안을 해소하는 힐링 방법📍참가자 전원에게 아로마 오일 키트와 목걸이 만들기 재료 제공!🎁일상의 불안한 마음, 향기와 함께 다독여요. 자신감 넘치는 나로 거듭날 수 있는 시간이 될 것입니다.마음이 힘들다면, 향기로 마음을 챙기는 시간을 통해 마음부터 치유하세요!■ 일시 : 25.7.18.(금) 13:00 ~ 17:00 (4시간)■ 장소 : 해운대청년job카페 드림포트 1층 (부산 해운대구 반여로 120)■ 대상 : 15~39세 취업을 준비하는 모든 청년■ 비용 : 무료☞교육 신청 링크 클릭☜주차 공간이 제공되지 않습니다. 대중교통을 이용해주시기 바랍니다.☎ 문의 : 051-321-3331 / 051-327-3343",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001964
모집중,[해운대구] 해운대 청년 창업주거 복합공간(부산창업가꿈) 입주기업 추가 모집,2025-07-16 ~ 2025-07-31,해운대구,2025-09-01 ~ 2026-08-31,051-749-4832,,,"상세정보2025년「해운대 도심형 청년 창업주거 복합공간」입주자 추가모집「해운대 도심형 청년 창업주거 복합공간」에 입주할 청년(예비)창업자를 다음과 같이 추가모집 공고합니다.1.위 치:부산시 해운대구 윗반송로51번길36(반송동216-10번지)2.모집규모: 0개 기업(공유오피스&주거 연계 입주)3.모집분야:기술 기반 창업,디자인,크리에이터 창업4.모집대상:아래의 조건을 모두 충족하는 자-입주기업 대표자는18세 이상39세 이하인 자-입주기업 대표자의 주민등록 주소지가‘해운대구’이거나법인 또는 개인사업자의 사업장 소재지가‘해운대구’인 경우-창업한 지7년을 경과하지 않은 자※주민등록 주소지 또는 사업장 주소지가 타 지역인 경우,입주일로부터3개월 이내 해운대구로변경신고 하여야 함. (예비 창업자는 입주일로부터6개월 이내 변경신고.)5.계약기간: 12개월(2025년9월~ 2026년8월)※1년 단위로 평가를 거쳐 계약기간 연장가능(총 계약기간2년 이내)6.접수기간: 2025. 7. 16.(수)∼2025. 7. 31.(금) 18시까지7.접수방법:이메일(buvakim@naver.com)접수8.제출서류:공고문 참조9.문 의 처:부산벤처기업협회[☎051-343-0109]※자세한 사항은 공고문을 확인바랍니다.",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001963
모집마감,🌊✨[제4회 청년 클래스메이트✨] 참여자 모집,2025-07-15 ~ 2025-07-18,영도구종합사회복지관,2025-07-25 ~ 2025-07-25,051-413-4661,,만 18~39세 청년 누구나,"상세정보🌊✨[제4회 청년 클래스메이트✨]여름 감성 가득! 나만의 레진공예 키링 & 그림톡 만들어보자🎨💎직업 체험도 하고, 특별한 나만의 작품도 GET!🙌📌 일시: 2025.07.25.(금) 18:00~20:00📍 장소: 청년희망플랫폼 다:이룸 (영도구 번영길 8, 3층)👤 대상: 만 18~39세 1인 가구 및 은둔 청년 18명🎨 강사: 너와나의 공간/ 대표📝 신청방법:구글폼 작성 (프로필 링크 클릭!🔗) https://forms.gle/P1zQkFsAKMxwFM3L8✅ 7/18(금) 확정 참여자 문자 발송 예정!☎️ 문의: 051-413-4661(영도구종합사회복지관)🚫 당일노쇼 및 지각은 금지❗",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001962
모집중,금정구 청년창조발전소(꿈터플러스) 입주 스타트업 모집,2025-07-14 ~ 2025-07-28,청년창조발전소 꿈터플러스,2025-08-01 ~ 2026-07-31,051-710-4920,,"6개월 이내 창업예정인 예비창업자, 입주 신청일 현재 창업일로부터 7년이 경과되지 아니한 부산광역시에 소재를 둔 기업","상세정보청년들의 참신한 아이디어를 현실화하도록 지원하는 청년창업공간 『청년창조발전소 꿈터⁺』 에서 입주 스타트업을 모집하니 많은 신청 부탁드립니다.❍ 입주 스타트업 공개모집1. 모집 스타트업 :3개 내외 ※ 2인실 1개 팀, 오픈랩 2개 팀 내외2. 입 주 기 간 : 12개월(재평가를 통해 추가 12개월 연장가능, 최대 24개월 입주 가능)3. 입 주 대 상 :6개월 이내창업예정인 예비창업자, 입주 신청일 현재창업일로부터 7년이 경과되지 아니한부산광역시에 소재를 둔 기업4. 입 주 비 용 : 공고문 참조5. 모 집 기 간 :2025.7.14.(월) ~ 2025.7.28.(월) 14:00까지6. 모 집 분 야 : 문화/예술/콘텐츠/유통/IT/서비스 등 관련 스타트업7. 선 정 절 차 : 신청서 작성 및 접수(7/14~7/28) → 서면심사(7/29) → 심사결과 통보(개별통보) → 입주계약체결(7/30~31) →오픈랩 입주(8/1~)→2인실 입주(8/16~)입주자 혜택 및 지원 관련 자세한 내용은 공고문을 참조해주시기 바랍니다.문의 : 청년창조발전소 꿈터⁺(☎ 051.710.4920~3)",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001961
모집중,<취미 원정대 원데이클래스> 아로마 테라피_북퍼퓸,2025-07-14 ~ 2025-07-21,남구 일자리경제과 청년정책팀,2025-07-26 ~ 2025-07-26,051-607-3666,,18~39세 청년 누구나,"상세정보📚[참여자 모집] 취미 원정대 원데이클래스 : 향기에 끌림아로마 테라피_북퍼퓸좋아하는 책에 향기를 입혀보세요!북퍼퓸 원데이클래스 15명 모집합니다🙌※ <취미 원정대 원데이클래스>프로그램은 월별 신규 참여자를 대상으로 추첨합니다.⭐모집기간 : 7. 14 (월) ~ 7. 21 (월)⭐추첨일자 : 7. 21 (월) 17:00✅ 운영내용 : 좋아하는 책에 향기를 입혀보자!1) (고전)인문학 책을 선택 후, 읽으면서 좋았던 구절을 서로 공유2) 마음에 들었던 캐릭터나 배경을 선택해 향으로 묘사3) 향료 시향4) 캐릭터에 맞는 향수 만들기✅ 모집대상 : 18~39세 청년 누구나 / 15명 모집(헌혈 우선 추첨: 3명)✅ 운영일시 : 7. 26 (토) 13:00~15:00✅ 운영장소 : 남구 청년창조발전소 (남구 용소로46번길 7)✅ 신청방법 : 남구 청년창조발전소 홈페이지 청년프로그램 신청☎ 문의 : 남구 일자리경제과 청년정책팀 (051-607-3666~7)본 사업은 『부산광역시 2025 동네청년공간 활성화 지원사업』입니다.",https://young.busan.go.kr/policySupport/view.nm?menuCd=13&bizSid=SUP0000001960
